Year,Movie,Bond,Director,Composer,Writer,Cinematographer,Film_Length,Avg_User_IMDB,Avg_User_Rtn_Tom,Top_100,Video_Game,Indroduction,M_picture,,Source,17cast,18Producer,19music,20Trivia,21picture额外1,22picture额外2,23picture额外3,24trivia额外1,25trivia额外2,26trivia额外3,27trivia额外4,28TRAILER,MovieandYear,30额外picture
1979,Moonraker,Roger Moore,Lewis Gilbert,John Barry,Christopher Wood,Jean Tournier,126,6.2,5.7,0,0,"When the Moonraker space shuttle is hijacked, M sends Bond to the shuttle’s manufacturer, Hugo Drax, to investigate. Bond follows clues that lead him first to Venice, where he discovers Drax’s laboratory manufacturing a highly toxic nerve gas, and then to Rio, where he teams up with CIA agent and astrophysicist Holly Goodhead. At every turn they are attacked by Jaws on Drax’s orders. Bond goes into the jungle to find the source of the nerve gas, but instead discovers that Drax is launching multiple space shuttles filled with couples who will find safe haven in his secret space station. Drax plans to send pods containing deadly nerve gas to Earth to destroy the human race, and will later repopulate it with his master race of perfect physical specimens. A platoon of US marines arrive in a shuttle and defeat Drax’s men in a laser battle, while Bond and Dr. Goodhead track and destroy the deadly gas. ",https://www.007.com/wp-content/uploads/2020/08/MR.jpg,,https://www.007.com/the-films/moonraker/,"Roger Moore, Lois Chiles, Michael Lonsdale, Richard Kiel, Corinne Cléry, Bernard Lee, Desmond Llewelyn, Lois Maxwell, Toshirô Suga, Geoffrey Keen, Emily Bolton, Michael Marshall, Walter Gotell, Blanche Ravalec",Albert R. Broccoli,"“Moonraker” – performed by Shirley Bassey, lyrics by Hal David, composed by John Barry","The Spy Who Loved Me was originally intended to be followed by For Your Eyes Only, but with the increasing popularity of science fiction, Broccoli changed course to Moonraker",https://www.007.com/wp-content/uploads/2021/01/mr3-1024x756.jpg,https://www.007.com/wp-content/uploads/2021/01/mr1-1024x756.jpg,https://www.007.com/wp-content/uploads/2021/01/moon1-1024x756.jpg,The movie was filmed in four studios across three countries,"The pre-title parachute sequence, conceived by Michael G. Wilson, was filmed as an experiment in advance of principal photography in case it wasn’t successful",Lois Chiles (Holly Goodhead) was cast after meeting director Lewis Gilbert on a plane,"The crew customised four gondolas, which travelled at speeds of up to 60mph in the Venice canals",https://www.youtube.com/embed/KFOOjYU16KE?list=TLPQMjEwNzIwMjFHoX7lazQ7oA,Moonraker (1979),https://www.007.com/wp-content/uploads/2021/01/moon2-1024x756.jpg
1981,For Your Eyes Only,Roger Moore,John Glen,Bill Conti,Michael G. Wilson & Richard Maibaum,Alan Hume,127,6.8,6.3,1,0,"James Bond is ordered to retrieve the Automatic Targeting Attack Communicator (ATAC), housed on a sunken spy ship, the St. Georges. When Sir Timothy Havelock, a marine archaeologist secretly helping the British to locate the ship, is murdered along with his wife, Bond is dispatched to Spain to find out who hired the hitman, Gonzales, but before he can find out, Gonzales is killed by Havelock’s daughter, Melina. In Italy, Bond and Melina seek organised-crime figure Milos Columbo through businessman Aristotle Kristatos, then travel to Corfu to pursue Columbo. Columbo reveals that Kristatos is responsible for the Havelock’s murder and is working with the Russians to obtain the ATAC. After retrieving the ATAC from the wreck of the St. Georges, Bond and Melina are captured by Kristatos, but survive his attempt to drown them. Aided by Columbo, Bond and Melina infiltrate the mountaintop monastery of St. Cyril’s, where Bond retrieves the ATAC and prevents Melina from killing Kristatos, who dies by Columbo’s hand. As the Russians arrive to collect the ATAC, Bond destroys it so neither East nor West can have it. ",https://www.007.com/wp-content/uploads/2020/08/FYEO.jpg,,https://www.007.com/the-films/for-your-eyes-only/,"Roger Moore, Carole Bouquet, Julian Glover, Topol, Lynn-Holly Johnson, Cassandra Harris, Michael Gothard, Lois Maxwell, Desmond Llewelyn, Geoffrey Keen, James Villiers, Walter Gotell",Albert R. Broccoli,"“For Your Eyes Only” – performed by Sheena Easton, written by Bill Conti and Mike Leeson",John Glen’s directing debut and the first of five Bond films. Glen has directed more Bond films than any other director.,https://www.007.com/wp-content/uploads/2021/01/fyeo5-1024x756.jpg,https://www.007.com/wp-content/uploads/2020/04/landscape1_007_WEBSITE_IMAGE_SIZE_LANDSCAPE-1-1024x756.png,https://www.007.com/wp-content/uploads/2020/05/007_WEBSITE_Blofeld-Drop_LANDSCAPE-1024x756.png,"Third time we see Bond on skis this time in Cortina, Italy",For Your Eyes Only is the first time the theme song performer (Sheena Easton) is depicted in the main title sequence,Michael G. Wilson the Executive Producer and co-screenplay author has a cameo as a Greek priest,"The film was inspired by two of Fleming’s short stories, For Your Eyes Only and Risico",https://www.youtube.com/embed/e0iF8TCk4Fw?list=TLPQMjEwNzIwMjFHoX7lazQ7oA,For Your Eyes Only (1981),https://www.007.com/wp-content/uploads/2021/01/fyeo3-1024x756.jpg
1983,Octopussy,Roger Moore,John Glen,John Barry,"George MacDonald Fraser, Michael G. Wilson & Richard Maibaum",Alan Hume,131,6.5,5.3,1,0,"009 is found dead at the British Ambassador’s residence in East Berlin, dressed as a circus clown and carrying a fake Fabergé egg. MI6 sends Bond to investigate when the real egg appears at a London auction. Bond swaps the real egg with the fake, and drives up the bidding against exiled Afghan prince Kamal Khan, who ultimately wins the auction. Bond follows Khan back to his palace in Rajasthan, India, where he discovers that Khan is working with Orlov, a renegade Soviet general, and is using Octopussy’s circus troupe to smuggle Soviet treasures into the West. Bond infiltrates the circus, and finds that Orlov has replaced the treasures with a nuclear warhead, primed to explode during the show at a US Air Force base in West Germany. He convinces Octopussy that Khan has betrayed her and she assists Bond in deactivating the warhead. Bond and Octopussy return to India and launch an assault on Khan’s palace. Khan and bodyguard Gobinda capture Octopussy as they escape in a plane. Bond clings to the fuselage in a fight to the death with Gobinda, and manages to rescue Ocotpussy moments before the plane crashes, killing Khan.",https://www.007.com/wp-content/uploads/2020/08/OP-1.jpg,,https://www.007.com/the-films/octopussy/,"Roger Moore, Maud Adams, Louis Jourdan, Kabir Bedi, Steven Berkoff, Kristina Wayborn, Vijay Armitraj, Robert Brown, Walter Gotell, Geoffrey Keen, Desmond Llewelyn, Lois Maxwell, Andy Bradford",Albert R. Broccoli,"“All Time High” – performed by Rita Coolidge, lyrics by Tim Rice, composed by John Barry","Executive Producer, Michael G. Wilson along with his wife, Jane, pose as tourists on a boat in India who help Bond escape",https://www.007.com/wp-content/uploads/2016/08/007_Octopussy_LANDSCAPE-1024x756.jpg,https://www.007.com/wp-content/uploads/2019/09/plane007_WEBSITE_IMAGE_SIZE_LANDSCAPE-1024x756.png,https://www.007.com/wp-content/uploads/2021/01/oct3-1024x756.jpg,Maud Adams is the only actress to appear in two different leading roles in the Bond films,"Tennis player Vijay Amritraj was the first person cast after Cubby, a huge tennis fan, met him at Wimbledon",The Bede BD-5 jet pre-title sequence had originally been planned for Moonraker,"The crew faced many problems with large crowds in India. The bicycle riding between the tuk tuks in the chase sequence was not planned, and the man riding the bike completely ignored the film crew",https://www.youtube.com/embed/IwHbCvXMbS8,Octopussy (1983),https://www.007.com/wp-content/uploads/2020/08/007_WEBSITE_IMAGE_SIZE_LANDSCAPE_Faberge-1024x756.png
1985,A View to a Kill,Roger Moore,John Glen,John Barry,Michael G. Wilson & Richard Maibaum,Alan Hume,131,6.2,4.7,1,0,"A microchip James Bond recovers from the body of 003 in Siberia is a copy of one that is impervious to the magnetic pulse of a nuclear blast. It is made by a company recently acquired by Anglo-French combine Zorin Industries, so Bond is assigned to investigate Max Zorin. In Paris, Bond meets detective Aubergine to find out about Zorin, but Aubergine is killed by Zorin’s bodyguard May Day. Bond poses as a horse trainer to infiltrate Zorin’s equestrian estate, but his cover is blown and Zorin tries to drown him. 007 survives and tracks Zorin to San Francisco, where Zorin is planning Project Main Strike: the destruction of Silicon Valley by detonating explosions in mines beneath lakes and flooding the Hayward and San Andreas faults. With help from geologist Stacey Sutton, Bond sabotages Zorin’s scheme. Finding an unexpected ally in May Day, whom Zorin has betrayed, Bond prevents the main explosion from detonating. As Zorin escapes in his airship, he kidnaps Stacey. The final confrontation between Bond and Zorin is atop the Golden Gate Bridge in San Francisco, where Zorin falls to his death.",https://www.007.com/wp-content/uploads/2020/08/AVTAK.jpg,,https://www.007.com/the-films/a-view-to-a-kill/,"Roger Moore, Christopher Walken, Tanya Roberts, Grace Jones, Patrick Macnee, Patrick Bauchau, David Yip, Fiona Fullerton, Manning Redwood, Alison Doody, Willoughby Gray, Desmond Llewelyn, Robert Brown, Lois Maxwell, Walter Gotell, Geoffrey Keen, Jean Rougerie, Daniel Benzali, Bogdan Kominowski, Papillon Soo, Mary Stavin, Dolph Lundgren, Bill Ackridge","Albert R. Broccoli, Michael G. Wilson","“A View To A Kill” – performed by Duran Duran, written by Duran Duran and John Barry","For A View To A Kill, 1985 Bond (Roger Moore) dons a ski suit for a 4th time on location in Lake Jökulsárlón, Iceland and Piz Palü on the Vedretta di Scerscen Inferiore glacier, Swiss Alps doubling for Siberia",https://www.007.com/wp-content/uploads/2021/01/avtak0-1024x756.jpg,https://www.007.com/wp-content/uploads/2020/04/007_WEBSITE_IMAGE_SIZE_LANDSCAPE_MDayEiffel-1024x756.png,https://www.007.com/wp-content/uploads/2021/01/vtak2-1024x756.jpg,"Bond escapes his pursuers by jumping into an ice floe getaway vehicle with a Union Jack hatch. His co-pilot, agent Kimberley Jones, was played by Mary Stavin, Miss World 1977, who had also been in Octopussy",Although snowboarding had been seen in a short French film in 1983 – it made its debut in a major feature film in A View To A Kill,"Tom Sims, snowboard pioneer and World Snowboard Champion (1982) along with Steve Link doubled for Roger Moore for the snowboarding sequences",Stunt skier John Eaves mainly doubled for Roger Moore in the skiing and snowmobiling sequences,https://www.youtube.com/embed/buOK9kJIJA4,A View to a Kill (1985),https://www.007.com/wp-content/uploads/2021/01/vtak6-1024x756.jpg
1987,The Living Daylights,Timothy Dalton,John Glen,John Barry,Michael G. Wilson & Richard Maibaum,Alec Mills,130,6.7,6.3,0,0,"After a training exercise in Gibraltar is hijacked and an MI6 agent is murdered, it seems that the KGB’s old policy of Smert Spionam (Death to Spies) has been reactivated. Bond is sent to Czechoslovakia to support the defection of a Russian Army Officer, Koskov. He becomes suspicious when the sniper he has to assassinate appears to be a glamorous cellist, Kara Milovy. Later, when Koskov is kidnapped from the MI6 safe house, Bond’s suspicions are heightened and he combines his official assignment to assassinate General Leonid Pushkin – the new head of the KGB, whom Koskov has named as the initiator of the Smert Spionam policy – with an investigation into Kara and Koskov. Bond, with Kara in tow, pursues Koskov to Tangier, where he is hiding with arms/drug dealer Whitaker and his hired killer, Necros. Betrayed by Kara, Bond is kidnapped and taken to Afghanistan. He escapes and, with the assistance of an army of Afghan rebels led by charismatic Kamran Shah, brings down Whitaker’s illegal activities.",https://www.007.com/wp-content/uploads/2020/08/TLD.jpg,,https://www.007.com/the-films/the-living-daylights/,"Timothy Dalton, Maryam d’Abo, Jeroen Krabbé, Joe Don Baker, John Rhys-Davies, Art Malik, Andreas Wisniewski, Thomas Wheatley, Desmond Llewelyn, Robert Brown, Caroline Bliss, John Terry","Albert R. Broccoli, Michael G. Wilson","“The Living Daylights” – written and performed by A-ha, produced by John Barry","At a script conference in LA, director John Glen came up with the idea to use Kara’s cello case to make their escape down the snowy hillside after self-destructing Bond’s Aston Martin. Glen had a cello case sent up from the MGM music stage and invited Cubby Broccoli to try out his idea with him. It was snug but they both fitted – it went into the script",https://www.007.com/wp-content/uploads/2017/03/tim007_WEBSITE_IMAGE_SIZE_LANDSCAPE-Recovered-1024x756.jpg,https://www.007.com/wp-content/uploads/2016/12/kara007_WEBSITE_IMAGE_SIZE_LANDSCAPE-1024x756.jpg,https://www.007.com/wp-content/uploads/2019/08/car007_WEBSITE_IMAGE_SIZE_LANDSCAPE-1024x756.png,Bond and Kara’s escape included sliding through a border control requiring Bond to throw the cello in the air and catch it after they pass under the barrier. Timothy Dalton wanted to try it himself and executed this stunt perfectly for the camera,Richard Maibaum and Michael G. Wilson began writing The Living Daylights before casting Timothy Dalton,This was the last Bond film to be scored by John Barry,"One of the prop missiles in Q’s lab was set off by Prince Charles, who visited the set with Princess Diana",https://www.youtube.com/embed/IXAVKJTIM1E?list=TLPQMjEwNzIwMjFHoX7lazQ7oA,The Living Daylights (1987),https://www.007.com/wp-content/uploads/2020/07/007_WEBSITE_IMAGE_SIZE_LANDSCAPE_TLDEscape-1024x756.png
1989,License to Kill,Timothy Dalton,John Glen,Michael Kamen,Michael G. Wilson & Richard Maibaum,Alec Mills,133,6.5,6,0,1,"En route to the wedding of his friend Felix Leiter in Florida, Bond and Leiter take a detour to arrest drug baron Franz Sanchez. It doesn’t take too long, however, for Sanchez to break himself out of jail, and kill the new Mrs Leiter and maim Felix. Bond seeks revenge. With his licence revoked by the British government, and with the aid of CIA operative Pam Bouvier as well as MI6 gadget specialist Q, they bring Sanchez and his entire corrupt drug empire to its knees.",https://www.007.com/wp-content/uploads/2020/08/LTK-1.jpg,,https://www.007.com/the-films/licence-to-kill/,"Timothy Dalton, Carey Lowell, Robert Davi, Talisa Soto, Anthony Zerbe, Frank McRae, Wayne Newton, Benicio Del Toro, Desmond Llewelyn, David Hedison, Robert Brown","Albert R. Broccoli, Michael G. Wilson","“Licence To Kill” – performed by Gladys Knight, written by Michael Walden, Jeffrey Cohen and Walter Afanasieff","Dalton did many of the stunts himself, including running from the exploding tanker",https://www.007.com/wp-content/uploads/2021/01/ltk2-1024x756.jpg,https://www.007.com/wp-content/uploads/2020/05/007_Mid-Air-Hiest_LANDSCAPE-1024x756.png,https://www.007.com/wp-content/uploads/2021/01/ltk3-1024x756.jpg,The film also marked the final appearances of Robert Brown as M and Caroline Bliss as Moneypenny,This was the first film to not use the title of an Ian Fleming story,"This was the first Bond film to be shot outside the UK in its entirety, with Estudios Churubusco in Mexico replacing Pinewood for interior shots",The film was originally called ‘Licence Revoked’,https://www.youtube.com/embed/quHQAuO0lkg?list=TLPQMjEwNzIwMjFHoX7lazQ7oA,License to Kill (1989),https://www.007.com/wp-content/uploads/2017/02/lewis007_WEBSITE_IMAGE_SIZE_LANDSCAPE-1024x756.jpg
1995,GoldenEye,Pierce Brosnan,Martin Campbell,脡ric Serra,"Michael France, Jeffrey Caine, Kevin Wade & Bruce Feirstein",Phil M茅heux,130,7.2,6.9,0,1,"It’s 1986, James Bond and agent 006, Alec Trevelyan, infiltrate a Russian weapons factory, but Trevelyan is killed by General Ourumov while Bond escapes. Nine years later General Ourumov and Russian mafia assassin Xenia Onatopp attack the Severnaya satellite control centre and gain control of the GoldenEye weapons system in outer space. Only computer programmer Natalya Simonova escapes Severnaya alive. In St Petersburg, Bond discovers that Trevelyan had faked his own death, and is planning to use the GoldenEye system to punish Britain for betraying his Cossack parents, who later committed suicide. After a dramatic tank chase on the streets of St Petersberg, Bond and Natalya join forces to track Trevelyan to Cuba, and infiltrate his facility. Natalya reprograms GoldenEye, and Bond fights Trevelyan to the death on the installation’s giant radio dish.",https://www.007.com/wp-content/uploads/2020/08/GE-1.jpg,,https://www.007.com/the-films/goldeneye/,"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don Baker, Robbie Coltrane, Alan Cumming, Gottfried John, Tcheky Karyo, Michael Kitchen, Serena Gordon, Judi Dench, Desmond Llewelyn, Samantha Bond","Michael G. Wilson, Barbara Broccoli","“GoldenEye” – performed by Tina Turner, written by Bono and the Edge","This was the first Bond film to use CGI, with computer graphics being used to create the iconic gun barrel opening reimagined by Daniel Kleinman who also produced the main title sequence",https://www.007.com/wp-content/uploads/2017/04/alec007_WEBSITE_IMAGE_SIZE_LANDSCAPE-Recovered-1024x756.jpg,https://www.007.com/wp-content/uploads/2021/01/ge1-1024x756.jpg,https://www.007.com/wp-content/uploads/2021/01/ge2-1024x756.jpg,‘GoldenEye’ is the name of Ian Fleming’s house in Jamaica where he wrote the Bond novels and short stories,Brosnan drank water in place of his vodka martini on set,"The famous tank chase took approximately four weeks to film, the tank was nicknamed Metal Mickey by the crew",This was Barbara Broccoli’s first Bond film as a producer,https://www.youtube.com/embed/8Zw8ylP4buA?list=TLPQMjEwNzIwMjFHoX7lazQ7oA,GoldenEye (1995),https://www.007.com/wp-content/uploads/2021/01/gold0-1024x756.jpg
1997,Tomorrow Never Dies,Pierce Brosnan,Roger Spottiswoode,David Arnold,Bruce Feirstein,Robert Elswit,119,6.4,6,0,1,"While James Bond spies on a terrorist arms bazaar, he identifies “techno terrorist” Henry Gupta, who is buying a stolen American GPS encoder. As Bond hijacks a Russian plane carrying nuclear torpedoes, Gupta escapes with the encoder during the confusion. Gupta is working for media baron Elliot Carver, who plans to provoke war between China and the United Kingdom, Gupta uses the encoder to send the British frigate HMS Devonshire off-course into Chinese waters, where Carver’s stealth ship, commanded by Stamper, sinks the frigate with a sea drill and steals one of its missiles. Bond has 48 hours to investigate the sinking before the British and Chinese go to war. Bond investigates Carver in Hamburg, seduces Carver’s wife, Paris, and steals the GPS encoder. Carver orders assassin, Dr Kaufman to kill Paris and Bond. Paris dies, but Bond kills Kaufman and escapes. Bond travels to the South China Sea and discovers that one of the missiles is missing from the wreck of the HMS Devonshire. Wai Lin, a Chinese agent on the same case, and Bond are captured by Stamper and taken to Carver’s headquarters in Ho Chi Minh City, but they escape and team up. They board Carver’s stealth ship to prevent him firing the stolen British missile at Beijing. In the final confrontation, Bond detonates an explosive exposing the ship on radar to the Royal Navy, and kills Carver with the sea drill.

",https://www.007.com/wp-content/uploads/2020/08/TND.jpg,,https://www.007.com/the-films/tomorrow-never-dies/,"Pierce Brosnan, Jonathan Pryce, Michelle Yeoh, Teri Hatcher, Joe Don Baker, Götz Otto, Ricky Jay, Judi Dench, Desmond Llewelyn, Samantha Bond, Geoffrey Palmer, Colin Salmon, Vincent Schiavelli, Cecilie Thomsen","Michael G. Wilson, Barbara Broccoli","“Tomorrow Never Dies” – written and performed by Sheryl Crow, produced by Mitchell Froom",Michelle Yeoh performed most of her own stunts,https://www.007.com/wp-content/uploads/2021/01/bike1-1024x756.jpg,https://www.007.com/wp-content/uploads/2021/01/tnd7-1024x756.jpg,https://www.007.com/wp-content/uploads/2018/05/wai007_WEBSITE_IMAGE_SIZE_LANDSCAPE-1024x756.png,"The film was dedicated to the memory of Cubby Broccoli, who passed away the year before release",The opening sequence was originally intended for The Living Daylights,"Much of the snow in the opening sequence was fake, as the warm weather was melting the existing snow",The location in the Pyrenees doubling for the Khyber Pass had a runway that was too steep and narrow for high speed jets to land – so the production team dismantled the jets – took them up to the location and rebuilt them,https://www.youtube.com/embed/eqrk7-mx2D0?list=TLPQMjEwNzIwMjFHoX7lazQ7oA,Tomorrow Never Dies (1997),https://www.007.com/wp-content/uploads/2021/01/tnd4-1024x756.jpg
1999,The World Is Not Enough,Pierce Brosnan,Michael Apted,David Arnold,"Neal Purvis, Robert Wade & Bruce Feirstein",Adrian Biddle,128,6.3,5.7,0,1,"Following the murder of her father, oil magnate Sir Robert King, Elektra is assigned a bodyguard – MI6’s top agent James Bond. Sir Robert, an old friend of M’s, has been assassinated by terrorist Renard, who also seems to be targeting the 800-mile King pipeline, under construction from Azerbaijan to bring oil to the West. Freelance terrorist Renard has a bullet lodged in his skull following a run-in with 009; slowly dying, he feels no pain. Bond and Elektra become emotionally involved, but it transpires that Elektra, previously the victim of a kidnapping plot by Renard, seduced him and has engineered the takeover of her father’s business empire. Elektra kidnaps M and plans to detonate a nuclear explosion in Istanbul, contaminating the Bosphorus and ensuring the King pipeline is the sole oil route west. Bond, aided by atomic physicist Dr Christmas Jones, kills Elektra and Renard, rescues M, and prevents the cataclysm.",https://www.007.com/wp-content/uploads/2020/09/TWINE.png,,https://www.007.com/the-films/the-world-is-not-enough/,"Pierce Brosnan, Sophie Marceau, Robert Carlyle, Denise Richards, Robbie Coltrane, Judi Dench, Desmond Llewelyn, John Cleese, Maria Grazia Cucinotta, Samantha Bond, Michael Kitchen, Colin Salmon, Goldie, David Calder, Serena Scott Thomas, Ulrich Thomsen, John Seru, Claude-Oliver Rudolph, Patrick Malahide, Omid Djalili Jeff Nuttal, Diran Meghreblian","Michael G. Wilson, Barbara Broccoli","“The World Is Not Enough” – performed by Garbage, lyrics by Don Black, written by David Arnold","Bond (Pierce Brosnan) on skis for the fifth time on location in Chamonix, France doubling for the Caucasus Mountains between the Caspian and Black Seas",https://www.007.com/wp-content/uploads/2021/01/world1-1024x756.jpg,https://www.007.com/wp-content/uploads/2021/01/twine3-1024x756.jpg,https://www.007.com/wp-content/uploads/2021/01/twine5-1024x756.jpg,"Stunt co-ordinator Simon Crane selected champion extreme skiers Francine Moreillon and Stephan Dan to double for Sophie Marceau and Pierce Brosnan because they were also expert guides who knew the rocks, crevasses and other hazards of Mont Blanc and the surrounding mountains",The parahawks used in the ski chase sequence are hybrids designed by the Bond production team,Emmanuel Prévinaire’s mini-helicopter with its flying eyeball provides some of the most spectacular swooping shots in the ski chase sequence,A 170-strong crew shooting for four weeks captured the four and a half minutes of ski chase film time,https://www.youtube.com/embed/9nH1DwQP2Xs?list=TLPQMjEwNzIwMjFHoX7lazQ7oA,The World Is Not Enough (1999),https://www.007.com/wp-content/uploads/2021/01/twine1-1024x756.jpg
2002,Die Another Day,Pierce Brosnan,Lee Tamahori,David Arnold,Neal Purvis and Robert Wade,David Tattersall,133,6,6.1,1,0,"In North Korea, Bond kills Colonel Moon, who is trading weapons for African blood diamonds, and disfigures Moon’s henchman Zao in the process. Bond is captured and spends 14 months in prison before being exchanged for Zao, who had been captured by the British. MI6 believe Bond has cracked under torture, so he is disavowed. Bond tracks Zao to a Havana clinic, where he meets NSA agent Jinx Johnson, and finds out Zao is receiving DNA therapy to alter his appearance. After Zao escapes from the clinic, Bond follows the diamonds to London and then to billionaire Gustav Graves. M also suspects Graves – she planted agent Miranda Frost as Graves’ assistant – and gives Bond back his 00 status. In Iceland Graves unveils Icarus, a powerful laser satellite. Working together, Bond and Jinx discover that Graves is actually Moon; the colonel didn’t die in Korea and altered his appearance with gene therapy. Moon plans to use Icarus to help North Korea invade the South, but Bond and Jinx stow away on his cargo plane, where Jinx kills Frost, who had switched her allegiances to Moon, and Bond kills Moon, so preventing the invasion.",https://www.007.com/wp-content/uploads/2020/08/DAD.jpg,,https://www.007.com/the-films/die-another-day/,"Pierce Brosnan, Halle Berry, Toby Stephens, Rosamund Pike, Rick Yune, Michael Madsen, Will Yun Lee, Kenneth Tsang, Judi Dench, John Cleese, Samantha Bond, Emilio Echevarría, Michael Gorevoy, Lawrence Makoare, Colin Salmon","Michael G. Wilson, Barbara Broccoli","“Die Another Day” – written and performed by Madonna, produced by Mirwas Ahmadzaï",The ice palace took six months to construct,https://www.007.com/wp-content/uploads/2019/03/miranda007_WEBSITE_IMAGE_SIZE_LANDSCAPE-1024x756.png,https://www.007.com/wp-content/uploads/2020/04/Landscape3_007_WEBSITE_IMAGE_SIZE_LANDSCAPE-1024x756.png,https://www.007.com/wp-content/uploads/2020/05/007_WEBSITE_Die-ANother-Day-Sword-Duel_LANDSCAPE-1024x756.png,"Scenes featuring a North Korean beach in the pre-titles were in fact filmed in Cornwall, England",The first film where Bond is seen with a beard,"Although producer Michael G. Wilson had made several cameos in Bond films since Goldfinger, this was his first credited cameo appearance",The film marked the 40th anniversary of the franchise,https://www.youtube.com/embed/GTznf1x4khc?list=TLPQMjEwNzIwMjFHoX7lazQ7oA,Die Another Day (2002),https://www.007.com/wp-content/uploads/2021/02/BOND-Watermarked-Gallery12-1024x706.jpg
2006,Casino Royale,Daniel Craig,Martin Campbell,David Arnold,"Neal Purvis, Robert Wade & Paul Haggis",Phil M茅heux,144,7.9,7.8,1,0,"After becoming a 00 agent, James Bond hunts down a bomb maker in Madagascar, which leads him to shady financier Alex Dimitrios in the Bahamas, and then to a plot to blow up the prototype Skyfleet airliner at Miami Airport. By preventing the bombing, Bond leaves criminal banker Le Chiffre on the verge of bankruptcy – Le Chiffre lost his clients’ money by betting on Skyfleet’s failure on the stock market. Le Chiffre sets up a high-stakes poker game in Montenegro to win back the lost money. Bond attends with Treasury agent Vesper Lynd and wins, but Le Chiffre kidnaps Lynd and tortures Bond in an attempt to regain the winnings. They are saved when Mr White, a senior figure in terrorist organisation QUANTUM, kills Le Chiffre. However, Lynd is secretly working for White and has made a deal with him to save Bond’s life. In love with Lynd, Bond resigns from MI6 and travels to Venice with her. There, he realises she has betrayed him and stolen the money. After a gunfight with QUANTUM’s men in a collapsing Venetian villa, Lynd lets herself drown because she cannot bear the burden of her guilt. Bond pursues White and shoots him in the leg, then introduces himself; “The name’s Bond, James Bond.”",https://www.007.com/wp-content/uploads/2012/10/Casino-Royale_1500.jpg,,https://www.007.com/the-films/casino-royale/,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench, Jeffrey Wright, Ginacarlo Giannini, Caterina Murino, Simon Abkarian, Isaach De Bankole, Jesper Christensen, Ivana Milicevic, Tobias Menzies, Claudio Santamaria, Sébastien Foucan, Malcolm Sinclair","Michael G. Wilson, Barbara Broccoli","“You Know My Name” – performed by Chris Cornell, composed by Chris Cornell and David Arnold","Special permission was granted for Bond and Vesper’s yacht (the Spirit 54) to sail along the Grand Canal between the Accademia and Rialto bridges, marking the first time in many years a yacht has sailed the Grand Canal",https://www.007.com/wp-content/uploads/2021/01/cr1-1024x756.jpg,https://www.007.com/wp-content/uploads/2019/10/007_Solange_LANDSCAPE-1024x756.png,https://www.007.com/wp-content/uploads/2021/01/cr4-1024x756.jpg,Production designer Peter Lamont is the only crew member to have worked with all six Bond actors as well as working on more Bond films (18 out of 21) than anyone else,"The effects team created an exterior Venetian house model, built to one-third scale, to shoot the building collapsing into the Venetian canal. The same computer system used to control the three story dilapidated interior set also controlled the model’s hydraulics so Corbould and his team could exactly replicate the motion of the interior set",Producer Michael G. Wilson has a cameo as a corrupt Montenegrin police chief,"The Guinness World Record for the most cannon rolls in a car is seven and achieved by stuntman, Adam Kirley, in an Aston Martin DBS, during filming at Millbrook Proving Ground, Milton Keynes",https://www.youtube.com/embed/0px9QxojVjU?list=TLPQMjEwNzIwMjFHoX7lazQ7oA,Casino Royale (2006),https://www.007.com/wp-content/uploads/2016/11/vesper007_WEBSITE_IMAGE_SIZE_LANDSCAPE-1024x756.jpg
