"","text","date","topic","sentiment","country","city_ascii","lat","lng"
"18","Can the Trump adminstration prevent Huawei from using the Android Open Source Project (AOSP) -- either in theory or in practice? Is Google legally obligated to prevent them from doing so? https://t.co/ebdqL5bVcH","2019/5/16",4,0.019538168,"United States","Santa Rosa",38.4465,-122.706
"19","__ith this listing, Google would be barred from exporting Android to Huawei. The chips in the phones are also made by U.S. companies, which would need waivers to sell to Huawei._ THIS IS GOING NUCLEAR 

https://t.co/BP0fDzIGRT","2019/5/16",4,-0.260862297,"United States","Erie",42.1168,-80.0733
"20","""With this listing, Google would be barred from exporting Android to Huawei unless it got a waiver from the Commerce Department. The chips in the phones are also made by U.S. companies, which would need waivers to sell to Huawei, the official said."" https://t.co/KI8AOOk2P7","2019/5/16",2,-0.11274591,"United States","District Heights",38.8588,-76.8885
"21","@ava @IlhanMN It's truly ashame that so many people are so uneducated still in today's world regarding the very moment of their own existence as a human. Life does infact begin at the time conception being termed as CONCEIVED, to originate from, create and evolve=https://t.co/nV9YaWq4BY","2019/5/16",3,0.045494451,"China","Cangzhou",38.3204,116.87
"22","Olerai House contacts for more information: 

Moi North Lake Road, Naivasha https://t.co/uHpeHtet5e","2019/5/16",3,0.18,"United States","Midlothian",41.6254,-87.7243
"23","And this is the most artful piece about the abstract concept of perspectivity I've ever seen
https://t.co/6Wu7YUKyHn","2019/5/16",4,0.087287156,"China","Xuanzhou",30.9525,118.7553
"24","Here is a trade war disaster in the making : https://t.co/RjLGqohKpo. Trump's arrogant, unilateral move here would make the Android O/S off-limits to Huawei. This will NOT stop Huawei, but WILL cause needless disruption to telecommunications. Google -- SPEAK UP!","2019/5/16",2,-0.358901176,"Iran","Hamadan",34.796,48.515
"25","[Update: New details] Google and Huawei may pay up to $400 to owners of bootlooping Nexus 6P https://t.co/zUWbGNfmIc #tech #android","2019/5/16",1,0.149240501,"United Kingdom","Kirkintilloch",55.9167,-4.1667
"26","[Update: New details] Google and Huawei may pay up to $400 to owners of bootlooping Nexus 6P https://t.co/T6WTXXwMnc #android","2019/5/16",4,0.149240501,"United States","Machesney Park",42.3666,-89.0266
"27","Since American companies dominate semiconductors, that could smother Huawei__ production of everything from 5G base stations to mobile phones. 

It may not even be able to use Google__ Android, the most popular operating system globally for smartphones.","2019/5/16",2,0.106066017,"China","Baoshan",25.12,99.15
"28","2. It requires any US company that wants to supply Huawei to first ask the US government for permission. This has obvious implications for Google's Android operating system, Qualcomm chips and a myriad of other suppliers","2019/5/16",1,0.023570226,"China","Harbin",45.75,126.65
"29","Cleaning company in Dammam Middle East

 Hospital Street, Adama, Dammam 32242
 055 160 6299 https://t.co/bg4NTlfmS1","2019/5/16",3,0.154919334,"United States","Washington",38.9047,-77.0163
"30","""It may not even be able to use Google__ Android, the most popular operating system globally for smartphones. "" https://t.co/wdWV0OC1kY via @bpolitics","2019/5/16",1,0.106066017,"Greenland","Kullorsuaq",74.5781,-57.225
"31","The other thing is that Huawei phones use the Google Android operating system which is hugely American. If you force Huawei into a national disconnect they will create their own software and Silicon Valley will lose a huge market!!!","2019/5/16",2,-0.111930376,"United States","Seattle",47.6211,-122.3244
"32","@garyvee Is at night this side 01:27 am : south Africa : https://t.co/BoUKDSjXtw","2019/5/16",1,0,"Cambodia","Samraong",14.1817,103.5176
"33","This song is officially BIG : https://t.co/BoUKDSjXtw","2019/5/16",4,0.083333333,"United States","Beaver Dam",37.4044,-86.8742
"34","LINK WORTH FOLLOWING

https://t.co/BoUKDSByl4 https://t.co/poCvqXcHYj","2019/5/16",1,0.226133508,"United States","New York",40.6943,-73.9249
"35","With the whole Huawei fiasco: Chinese or US #infrastructure? Data #privacy isn't really available anywhere. Even for American companies, this is a backset concern.

New post on Opine. #politics #tech #telecom #business
iOS: https://t.co/BYQxRt8VVh
Android: https://t.co/5VTNTVNNdq","2019/5/16",1,-0.023063945,"Guatemala","Solol¨¢",14.773,-91.183
"36","@Ian56789 Except Huawei runs on android and has google well integrated.","2019/5/16",1,0.422115882,"United States","Enid",36.4061,-97.8701
"37","@drisaudi Well, if you don't like Samsung, there's still other companies like Google, Huawei, LG, Moto, OnePlus, etc.
Android is great because of CHOICE. 
Totally gonna switch to an Android.","2019/5/16",2,0.185328423,"United Kingdom","Inverness",57.4671,-4.2333
"38","@ReutersBiz @Huawei Justin ""Piper""
Claris Works 
Google Earth
Google Drive
Google Cloud
Google Pixel 1,2,3,3a
Google G Suite = Justin G Piper
GoogleIO
Microsoft ""AZURE""
Android ""P"" now known as Android 9 ""Pie""
Summit
Pixel Slate
Sierra
IphoneX ms Max","2019/5/16",3,0,"Korea, North","Chosan",40.8255,125.8008
"39","Beyond the infrastructure angle it's hard to see how the US government could restrict Huawei use of open-source Android. However, removing access to Play Store and Google services just as effective outside China.. https://t.co/S4iTKj0ODv","2019/5/16",2,-0.040533734,"Indonesia","Bogor",-6.57,106.75
"40","@fey_photeine @Adhomines @SkyNews #Huawei builds the hardware, but the OS (Android) is done by Google, a ____ #US company.

In fact, both Apple and Huawei build their devices at a factory in ____ #China - the same factory (Foxconn), in fact !","2019/5/16",1,0.01118034,"United States","Luling",29.6817,-97.6466
"41","The U.S. blacklists @Huawei, placing it on the ""Entity List"" which restricts its access to critical hardware and software tech from @Intel, @Qualcomm, @Microsoft, and @Google that could greatly impact its $52 billion consumer business (#Android smartphones, #Windows laptops...)","2019/5/17",1,-0.160128154,"United States","Venice",27.1166,-82.4135
"42","@realDonaldTrump shoots @Huawei &amp; hit @Qualcomm @Broadcom report @FT How about @Google who supply the #android @OS? Will someone PLEASE stop this crazed man who discovered #NationalSecurityThreat HE IS THE NATIONAL &amp; ECONOMIC THREAT TO THE WORLD!!! @SpeakerPelosi ANYONE?","2019/5/17",1,-0.124561141,"United Kingdom","Irvine",55.6,-4.6667
"43","@Reuters @Huawei @KensingtonRoyal Justin ""Piper""
Claris Works 
Google Earth
Google Drive
Google Cloud
Google Pixel 1,2,3,3a
Google G Suite = Justin G Piper
GoogleIO
Microsoft ""AZURE""
Android ""P"" now known as Android 9 ""Pie""
Summit
Pixel Slate
Sierra
IphoneX ms Max","2019/5/17",3,0,"United Kingdom","Livingston",55.8833,-3.5333
"44","MR Best furniture movers, Office Movers and s in abu dhabi
#movers#s#abu Dhabi
Abu Dhabi - United Arab Emirates
+971 54 326 7424 https://t.co/dh44825in7 https://t.co/AyGOXf43wI","2019/5/17",3,0.182574186,"Japan","Sapporo",43.075,141.34
"45","@JackPosobiec Huawei's system is supported by Android,so u mean google is getting your location tooï¼","2019/5/17",1,0.1875,"United States","Goshen",41.5741,-85.8304
"46","Exports ban might prevent #Huawei from licensing #Android.

#Telecommunications #Phone #mobile #google #Iphone #samsung","2019/5/17",2,-0.132582521,"United States","Hampton",37.0551,-76.3629
"47","@xcsdfh112 @JackPosobiec That actually applies to all android phones, it's so easy to hack in to the google services via bluetooth with blueborne vunerability, all you need to know is how to code and know linux, but yeah there is a reason why Huawei is banned in the US.","2019/5/17",1,-0.085714286,"United States","Tampa",27.9937,-82.4454
"48","Huawei__ chip unit says it prepared years ago for doomsday scenario of US tech ban https://t.co/LfZG6Gq2jv

#china #htc #huawei #Xiaomi #mobile #android #google #wireless #4g #5g #lte https://t.co/m7G6aNx9JA","2019/5/17",1,-0.040032038,"United Kingdom","Edinburgh",55.9483,-3.2191
"49","Huawei bought $70 billion worth of components and parts last year from 13,000 suppliers. 

Of that, about $11 billion was spent on products from US businesses, including chips from Qualcomm and Broadcom, as well as Microsoft software and Google's Android https://t.co/XB3UfuQinO","2019/5/17",1,0.213233332,"United States","Mahomet",40.1884,-88.3908
"50","@OzApostate @Huawei @OxfordEconomics @Snowden Every single company put these backdoors in. Even Apple who said they didn__ but found out they did. Google gave the NSA backdoor access to android, this only matters because it__ a Chinese company and Trump is having a tantrum against them.","2019/5/17",4,0.120711001,"India","Bahraich",27.6204,81.6699
"51","__Android Application Development Company__
.
.
____more..__https://t.co/ZExd6t9fgz
.
.
.
#android #iphone #ios #samsung #apple #smartphone #technology #tech #mobile #s #google #plus #xiaomi #app #oppo #instagood #oneplus #huawei #phone #vivo #galaxys #like #java #programming https://t.co/TiTDtqqlPf","2019/5/17",2,0.018898224,"United States","Santa Barbara",34.4285,-119.7202
"52","@g_i_r_l_s_s Needle and thread for sewing kits

King Fahd, Riyadh 12262_3425
011 453 0580 https://t.co/PzBtWHW6zH","2019/5/17",3,0.02236068,"China","Hebi",35.9504,114.22
"53","@g_i_r_l_s_s Yad gallery for all Sewing

King Fahad Branch Rd, Ad Dirah, Riyadh 12633
011 411 3751 https://t.co/wk5kDYLoCG","2019/5/17",3,0.020851441,"United Kingdom","Newtown Saint Boswells",55.5833,-2.6833
"54","@CNN Faked news. without Huawei, Qualcomm will sell more ICs and Apple will sell more phones. Google android is already free and huawei didn__ pay google anything. The communist party government actually forced google out of China.","2019/5/17",2,-0.203904332,"United States","San Francisco",37.7562,-122.443
"55","Google, Android and Huawei, best combination, value for money. __ https://t.co/LaPzgTDOZB","2019/5/17",1,0.183333333,"United States","Greensburg",40.3113,-79.5444
"56","Huawei bought $70 billion worth of components and parts last year from 13,000 suppliers. 

Of that, about $11 billion was spent on products from US businesses, including chips from Qualcomm and Broadcom, as well as Microsoft software and Google's Android https://t.co/dq2MuT7QB3","2019/5/17",1,0.211526224,"United Kingdom","Winchester",51.0167,-1.3167
"57","Huawei__ day of reckoning arrives _ will its preparations pay off? https://t.co/5UBX95cBHj

#china #htc #huawei #Xiaomi #mobile #android #google #wireless #4g #5g #lte https://t.co/lIgOpE5ZJF","2019/5/17",2,0.011465848,"Canada","Tuktoyaktuk",69.4548,-133.0492
"58","Which kind of phone would you want to be foldable?
#newtech #iphone #cellphone #mac #socialmedia #Samsung #android #huawei #google #LG #HTC #sony #oneplus https://t.co/OGQ1JOj1AD","2019/5/17",3,0,"Jordan","As Salt",32.0392,35.7272
"59","A major issue for users of Huawei smartphones is access to Google operating system. Presumably Huawei smartphones won__ be able to receive Android updates from Google.  https://t.co/E7LtywfZD4","2019/5/18",2,-0.005339726,"United States","Elkton",39.6067,-75.821
"60","#Huawei bought $70 billion worth of components and parts last year from 13,000 suppliers. 

Of that, about $11 billion was spent on products from #US businesses, including chips from Qualcomm and Broadcom, as well as #Microsoft software and #Google's #Android","2019/5/18",1,0.223253175,"United States","Hastings-on-Hudson",40.9902,-73.8801
"61","à¸__à¸²à¸§à¸_¸µà¹__à¸±à_à¸_¸±à¸__à¸¥à_à¸ à¸_¸´à¸_¸§à¹_¸²à¸__à¸§à_à¹à¸_¸¥à¸µà_à¸¢à_à¸__à¸²à¸¢à¸__à¸§à_à¹_¸£à¸_¸­à¸²à_à¸¢à¸²à¸__à¸´à_à¸_à¹_¸­à¸ à¹__à¹__à¹_¸²à¸_¸³à¹__à¹__à¸µà_ Google à¸¸°à¹à¸_¸·à¸_à¹__à¹__ Chinese tech giant Huawei has developed its own operating system as a 'plan B' in case it's barred by the US government from using Google and Microsoft products https://t.co/kCTYFWvD2K","2019/5/18",1,-0.171498585,"China","Huanghua",38.3704,117.33
"62","Did you buy a Nexus 6P? You could be due compensation from Google and Huawei: Reviews, News, CPU, GPU, Articles, Columns, Other __r_ search relation. Accessory, AMD, Android, Apple, ARM, Audio, Bay Trail, Business, Cannon Lake, Charts, Chinese Tech,_ https://t.co/6nSg5rjoE4","2019/5/18",3,-0.022941573,"Iran","Borujerd",33.92,48.8
"63","Huawei also has been working to reduce its reliance on U.S. suppliers. It now makes many of its own advanced chips and has developed an operating system for its smartphones, which currently run on Google__ Android system https://t.co/KnKPkEDOg3","2019/5/18",1,0.118172019,"United States","Washington",38.9047,-77.0163
"64","@marcorubio @TheEconomist Google shouldn't offer Android for Huawei, making Huawei become strong to threaten our country and the democratic countries. @realDonaldTrump 
@VP","2019/5/18",4,-0.03913119,"United Kingdom","Aberdeen",57.1704,-2.08
"65","Huawei bought $70 billion worth of components and parts last year from 13,000 suppliers. 

Of that, about $11 billion was spent on products from US businesses, including chips from Qualcomm and Broadcom, as well as Microsoft software and Google's Android https://t.co/TcmYXaIyNU","2019/5/18",1,0.215027995,"United States","Friendswood",29.5112,-95.1979
"66","Source of image : https://t.co/Vgt4Q8lB0Z https://t.co/TNFDRZBmHD","2019/5/18",4,0,"Kenya","Lamu",-2.262,40.9197
"67","@janikamarata Birthday_Wishes_for_Best Friend -_Happy BirthdayBest Friend. I am grateful_for_your true friendship. Hope you_birthday_is amazing as you are my best friend! I wish you love, hope and everlasting joy and happiness. Thank you_for_being my best friend!

https://t.co/fdfbhEVzCE","2019/5/18",4,0.715138117,"Jordan","Al Karak",31.1851,35.7047
"68","FDC urges  President Trump  to ban Google android operating system licensing to Huawei.
https://t.co/cm7Hsg24Vb","2019/5/18",1,-0.083205029,"Italy","Ferrara",44.8504,11.6099
"69","FDC urges  President Trump  to ban Google android operating system licensing to Huawei. https://t.co/rWJ1pg95nW","2019/5/18",1,-0.083205029,"China","Siping",43.17,124.33
"70","Switching from iOS to Android Pie starting today with my brand new Huawei P Smart Z as a successor to an iPhone 7 Plus. Really pleased so far with Google Assistant and Google Photos. Still looking for good resources for learning Android tricks...","2019/5/18",1,0.446559702,"United States","Ripon",37.7415,-121.1309
"71","@Sachin_Dz @bvipzb @MKBHD Android ""skins"" are the ones who are fragmented... Not Android as whole. Android has it's own ecosystem and its Google's. Huawei have theirs, same with Samsung. When we say Android, we don't use Skins here... Also, hahah... If you will say that then not even Android One is stock","2019/5/18",2,-0.024743583,"United States","New Lenox",41.5097,-87.97
"72","@Sachin_Dz @bvipzb @MKBHD Fragmented when other OEMs come into game. Use Google when we talk Android. It's not same when you use Samsung Android and Huawei Android compared to Stock Android. Stock Android is like iOS. Controlled by Google. OneUI is for example controlled by Samsung and Google and carriers","2019/5/18",4,-0.002934582,"United States","San Francisco",37.7562,-122.443
"73","Huawei bought $70 billion worth of components and parts last year from 13,000 suppliers. 

Of that, about $11 billion was spent on products from US businesses, including chips from Qualcomm and Broadcom, as well as Microsoft software and Google's Android https://t.co/I5rdVntmX1","2019/5/19",1,0.213233332,"Australia","Sydney",-33.92,151.1852
"74","@mayo_rob It's quite small but great food and drinks. Standing only and very social.
https://t.co/OeNiT0JYJN","2019/5/19",3,0.289348406,"United States","Monument",39.0736,-104.8469
"75","Pixel do have good camera and with google assistant and all google servis tht u can get.. 
But huawei got best processor.. 
EMUI.  I like itt - screen recorder, health app,  all many more. 
Well,  this is what vanilla android means huh. 
I still need to adjust myself . https://t.co/e4neDstJtJ","2019/5/19",2,0.1864359,"United States","Manhattan",40.7834,-73.9662
"76","@LifeisSavage @physioandrew Adelphi/Andrew Seymour Physiotherapy and Pilates

127 Main Rd, Sea Point, Cape Town, 8060
021 439 6742 https://t.co/5Ntmq2IQlp","2019/5/19",2,0.091766294,"Guyana","Ituni",5.43,-58.25
"77","My dream phone would be

5g A13 bionic chip,
Galaxy S10+ display Huawei P30 camera,
Asus Zenfone 6 Battery,
Google pixel 3 camera software,
Samsung android v9 one UI,
Iphone XS stereo speakers https://t.co/19mZf0y0l6","2019/5/19",3,-0.13151919,"China","Suining",30.5333,105.5333
"78","Huawei Technologies bought $70 billion worth of components and parts last year from 13,000 suppliers.
Of that, about $11 billion was spent on products from US businesses, including chips from Qualcomm and Broadcom, as well as Microsoft software and Google's Android","2019/5/19",1,0.219006287,"United Kingdom","South Shields",54.9878,-1.4214
"79","If I ever switch brands again, it__ more likely be either Google or Samsung. Yes, other Android brands like OnePlus, Huawei, Xiaomi, and Oppo are releasing phones with some crazy novelties, but for the most part I don__ trust their software and I find those features gimmicky.","2019/5/19",2,0.074418198,"United States","Mason",39.3572,-84.3022
"80","Prove libere #android #mate #huawei #mate20pro #google #tech #instatech #nerd #nerdtime #techtime #instanerd #device #smartphone https://t.co/nColdgY0Ai","2019/5/19",4,0.611010093,"Greenland","Qaqortoq",60.7289,-46.0364
"81","Win the top-rated Android phone throughout the month of May

Which phone is it going to be

Samsung Galaxy S10 Plus
Samsung Galaxy S10e
Google Pixel 3
Google Pixel 3 XL
Huawei P30 Pro
Samsung Galaxy Note 9
OnePlus 6T
Honor View 20

Best Phone Giveaway
https://t.co/HaBHqe3OGg","2019/5/19",3,0.607142857,"United States","Seattle",47.6211,-122.3244
"82","Can I swim with my phone? What does waterproof actually mean? Which phones are the most waterproof? We answer all in our new guide to waterproof phones: https://t.co/7jFajhPLxF : #waterproofing #samsung #apple #huawei #google #sony #tech #techy #android #iphone https://t.co/3lzDRTQNNd","2019/5/19",3,0.271800196,"India","Raipur",21.235,81.635
"83","https://t.co/DKBCKbfjbh
If it is true,then its bad__
America and China trade fight heating up__","2019/5/19",3,-0.530330086,"United States","Lantana",26.5834,-80.0565
"84","Google 'restricts Huawei's use of Android' - See Full &gt;&gt; https://t.co/W1ns5uXOhv
.
.
#technology #techno #tech #games #technews #technopreneur #techlife #techstartup #techouse #technolove #techgame #technologies #technolife #techgeek #techaddict #technolovers https://t.co/ahQZWBZv2L","2019/5/19",1,0.00727393,"China","Foshan",23.0301,113.12
"85","Well _@Google_ goodbye and thank you for all the fish 
Let__ go _@DuckDuckGo_
https://t.co/SRyDDyhYji
Google __locks Huawei access to Android updates_ after blacklisting | Huawei | The Guardian https://t.co/m0a8D6reLY","2019/5/19",2,0.233333333,"United States","Hueytown",33.4237,-87.0221
"86","Google and Android dominance is going down pretty bad!
#Huawei #Google #Android #US","2019/5/19",2,0,"Greenland","Upernavik",72.7094,-56.1417
"87","Google pulls Huawei__ Android license, forcing it to use open source version https://t.co/ZDT8o2BTc6","2019/5/19",4,0,"China","Fuyu",45.1804,124.82
"88","Google pulls Huawei__ Android license https://t.co/kcGa80a4qd","2019/5/19",4,0,"United States","Boston",42.3188,-71.0846
"89","Google pulls Huawei__ Android license, forcing it to use open source version - The Verge https://t.co/0871b0rbef","2019/5/19",4,0,"Honduras","Santa Rosa de Cop¨¢n",14.77,-88.78
"90","Welcome to AOSP World __ https://t.co/hjadeL8WyQ","2019/5/19",3,0.166666667,"United Kingdom","Sheffield",53.3667,-1.5
"91","Have to see how Huawei n China responds to it? considering the fact that most of Android n other phones are manufactured in China.

Could it be a push to develop it's own operating system to China?

@zlj517 #Huawei #ChinaUS #Google #Android https://t.co/3X39TZeAFB","2019/5/19",1,0.006933752,"China","Wanzhou",30.82,108.4
"92","Trump __ https://t.co/pf7nfQOe3Y","2019/5/19",1,-0.037796447,"United Kingdom","Perth",56.4003,-3.47
"93","Report Claims Google Could Be Pulling Huawei's Android License https://t.co/N8cJEdw5nC via @gizmodo","2019/5/19",4,0,"United States","Newberry",34.2822,-81.6012
"94","Google 'restricts Huawei's use of Android' https://t.co/Kfa1WfuROx https://t.co/090DmPfKZ1","2019/5/19",4,0,"United States","Heber Springs",35.5003,-92.0332
"95","This, I think, could be way more significant that previous action against Huawei and infrastructure projects. https://t.co/AbdirhOKwa via @theage","2019/5/19",3,0.08125,"China","Chengde",40.9604,117.93
"96","Err... WTF? I sure hope I get to be able go online after this: Google 'blocks Huawei access to Android updates' after blacklisting https://t.co/oYnllO82kS","2019/5/19",1,-0.441165159,"United States","Morris",45.5856,-95.9047
"97","Google 'restricts Huawei's use of Android' https://t.co/hfWzmMOsdM https://t.co/rEIaz0coLm","2019/5/19",1,0,"United States","Munford",35.4436,-89.8141
"98","Google rompe con Huawei dopo bando Trump. Stop ad aggiornamenti Android e a Play Store, YouTube e Gmail | #ANSA https://t.co/d0klFt7kNW","2019/5/19",2,-0.113284235,"United States","Morganton",35.7407,-81.7002
"99","Huawei Smartphones Will Lose Google Android Software And Services, Reports Claim https://t.co/yw77s0pCLe","2019/5/19",1,-0.060633906,"India","Agartala",23.8354,91.28
"100","Google reportedly severed Huawei's access to key Android apps and services https://t.co/7jyG9ZlpFp","2019/5/19",2,0,"United States","Leander",30.5721,-97.8596
"101","Breaking News: Huawei loses access to Android and Google, effective immediately https://t.co/bAGW6SJleB","2019/5/19",2,-0.2,"United Kingdom","Oldham",53.55,-2.1167
"102","WTF???? #Google pulls Android support from #Huawei_ I__ baffled! 

https://t.co/CMZRdqL0Ub","2019/5/19",4,-0.345118446,"Canada","Charlottetown",46.2493,-63.1313
"103","Huawei has immediately lost access to Android and Google https://t.co/GRsLEu22Us","2019/5/19",2,-0.200445931,"United Kingdom","Motherwell",55.7833,-4
"104","HUAWEI BANNED | Google banned Chinese tech giant Huawei Technologies from having access to Google Services, including Android. This will affect all of Huawei's Android devices.

This is just the first of many Chinese tech brands subject for ban. Many... https://t.co/2LxAMdY21u","2019/5/19",1,-0.095644985,"United Kingdom","Scunthorpe",53.5833,-0.65
"105","Huawei has immediately lost access to Android and Google

https://t.co/hDjVUjO0mf","2019/5/19",2,-0.200445931,"India","Asansol",23.6833,86.9833
"106","Embattled Huawei's devices to lose access to Google services, Android updates after Trump blacklist https://t.co/ptLoFVQ3Pf","2019/5/19",2,-0.263828094,"United States","Clay",33.698,-86.6067
"107","Google pulls Huawei__ Android license!

Huawei is on the __ntity List._ This is a list of companies that can__ buy technology from US companies without the government__ approval. https://t.co/96Srn0XgLj","2019/5/19",2,0.041702883,"United States","San Francisco",37.7562,-122.443
"108","Google suspending Huawei Android support is just going to result in Huawei coming up with a better OS.","2019/5/19",2,0.306412939,"United Kingdom","Craigavon",54.4497,-6.3646
"109","Chinese tech giant Huawei has developed its own operating system as a 'plan B' in case it's barred by the US government from using Google and Microsoft products

https://t.co/m5EedfpH9I","2019/5/19",1,-0.171498585,"Japan","Takaoka",36.67,137
"110","BBC News - Google 'restricts Huawei's use of Android' https://t.co/1MkNSLtR95

à¸_¸±à¸__à¸_¸´à¸_¸£à¸°à_à¸±à_à¹_¸¥à¸","2019/5/19",1,0,"India","Tirupati",13.6504,79.42
"111","Breaking News: Huawei loses access to Android and Google, effective immediately https://t.co/igQv9lV9XE","2019/5/19",2,-0.1940285,"India","Kavaratti",10.5626,72.6369
"112","Google pulls Huawei__ Android license, forcing it to use open source version https://t.co/cqggcutnMw https://t.co/FikNuJjbF0","2019/5/19",4,0,"India","Tirunelveli",8.7304,77.69
"113","Google pulls Huawei__ Android license - The Verge https://t.co/GgwIFJ8XSR","2019/5/19",4,0,"United States","Canton",32.5976,-90.0315
"114","TechJuice: Breaking News: Huawei loses access to Android and Google, effective immediately.
https://t.co/cYblke0gPK","2019/5/19",2,-0.115470054,"United States","Anaheim",33.839,-117.8572
"115","Google reportedly severed Huawei's access to key Android apps and services https://t.co/RhfSNQN4Ts (@mashable)","2019/5/19",2,0,"United States","Cibolo",29.5649,-98.2131
"116","Google reportedly severed Huawei's access to key Android apps and services https://t.co/HGQwDPg5do 

Be nervous if you're a Huawei customer.

Google has reportedly stopped doing business with the Chinese tech company behind the P-series and Mate-series smartphones. Functionally_","2019/5/19",2,-0.036834221,"United States","Boston",42.3188,-71.0846
"117","BBC News - Google 'restricts Huawei's use of Android' https://t.co/27yzSXew8M","2019/5/19",1,0,"India","Chandigarh",30.72,76.78
"118","Google reportedly severed Huawei's access to key Android apps and_services https://t.co/sDnaaOy1fV https://t.co/PC6gkeVK6E","2019/5/19",2,0,"United States","Los Angeles",34.1139,-118.4068
"119","Huawei Technologies will immediately lose access to updates for the Android operating system while the next version of its smartphones outside China will lose access to popular applications and services including the Google Play store and the Gmail app.","2019/5/19",2,0.096076892,"China","Beijing",39.9289,116.3883
"120","RIP Huawei https://t.co/zF3Jz3Jcyo","2019/5/19",4,-0.088388348,"Hungary","Tatab¨¢nya",47.55,18.433
