,id,title,original_title,homepage,original_language,overview,tagline,popularity,release_date,runtime,status,vote_count,vote_average,budget,revenue
262,120,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,http://www.lordoftherings.net/,en,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",One ring to rule them all,138.049577,2001/12/18,178,Released,8705,8,93000000,871368364
77,150540,Inside Out,Inside Out,http://movies.disney.com/inside-out,en,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",Meet the little voices inside your head.,128.655964,2015/6/9,94,Released,6560,8,175000000,857611174
229,1895,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,http://www.starwars.com/films/star-wars-episode-iii-revenge-of-the-sith,en,"Years after the onset of the Clone Wars, the noble Jedi Knights lead a massive clone army into a galaxy-wide battle against the Separatists. When the sinister Sith unveil a thousand-year-old plot to rule the galaxy, the Republic crumbles and from its ashes rises the evil Galactic Empire. Jedi hero Anakin Skywalker is seduced by the dark side of the Force to become the Emperor's new apprentice �?Darth Vader. The Jedi are decimated, as Obi-Wan Kenobi and Jedi Master Yoda are forced into hiding. The only hope for the galaxy are Anakin's own offspring �?the twin children born in secrecy who will grow up to become heroes.",The saga is complete.,44.108427,2005/5/17,140,Released,4116,7.1,113000000,850000000
183,101299,The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,http://www.thehungergames.movie/,en,"Katniss Everdeen has returned home safe after winning the 74th Annual Hunger Games along with fellow tribute Peeta Mellark. Winning means that they must turn around and leave their family and close friends, embarking on a ""Victor's Tour"" of the districts. Along the way Katniss senses that a rebellion is simmering, but the Capitol is still very much in control as President Snow prepares the 75th Annual Hunger Games (The Quarter Quell) - a competition that could change Panem forever.",Every revolution begins with a spark.,76.310119,2013/11/15,146,Released,6495,7.4,130000000,847423452
35,8373,Transformers: Revenge of the Fallen,Transformers: Revenge of the Fallen,http://www.transformersmovie.com/,en,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",Revenge is coming.,21.939663,2009/6/19,150,Released,3138,6,150000000,836297228
172,50620,The Twilight Saga: Breaking Dawn - Part 2,The Twilight Saga: Breaking Dawn - Part 2,,en,"After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",The epic finale that will live forever,99.687084,2012/11/13,115,Released,2553,6.1,120000000,829000000
96,27205,Inception,Inception,http://inceptionmovie.warnerbros.com/,en,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",Your mind is the scene of the crime.,167.58371,2010/7/14,148,Released,13752,8.1,160000000,825532764
159,557,Spider-Man,Spider-Man,http://www.sonypictures.com/movies/spider-man/,en,"After being bitten by a genetically altered spider, nerdy high school student Peter Parker is endowed with amazing powers.",With great power comes great responsibility.,82.502566,2002/5/1,121,Released,5265,6.8,139000000,821708551
507,602,Independence Day,Independence Day,,en,"On July 2, a giant alien mothership enters orbit around Earth and deploys several dozen saucer-shaped 'destroyer' spacecraft that quickly lay waste to major cities around the planet. On July 3, the United States conducts a coordinated counterattack that fails. On July 4, a plan is devised to gain access to the interior of the alien mothership in space, in order to plant a nuclear missile.",Earth. Take a good look. It might be your last.,60.442593,1996/6/25,145,Released,3260,6.7,75000000,816969268
106,810,Shrek the Third,Shrek the Third,http://www.shrekthethird.com/flash/index.html,en,"The King of Far Far Away has died and Shrek and Fiona are to become King &amp; Queen. However, Shrek wants to return to his cozy swamp and live in peace and quiet, so when he finds out there is another heir to the throne, they set off to bring him back to rule the kingdom.",Who's ready for Thirds?,42.986467,2007/5/17,93,Released,2278,6,160000000,798958165
2967,601,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,http://www.et20.com/,en,"After a gentle alien becomes stranded on Earth, the being is discovered and befriended by a young boy named Elliott. Bringing the extraterrestrial into his suburban California house, Elliott introduces E.T., as the alien is dubbed, to his brother and his little sister, Gertie, and the children decide to keep its existence a secret. Soon, however, E.T. falls ill, resulting in government intervention and a dire situation for both Elliott and the alien.",He is afraid. He is alone. He is three million light years from home.,56.105798,1982/4/3,115,Released,3269,7.3,10500000,792910554
191,673,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,,en,"Harry, Ron and Hermione return to Hogwarts for another magic-filled year. Harry comes face to face with danger yet again, this time in the form of escaped convict, Sirius Black �?and turns to sympathetic Professor Lupin for help.",Something wicked this way comes.,79.679601,2004/5/31,141,Released,5877,7.7,130000000,789804554
494,8587,The Lion King,The Lion King,http://movies.disney.com/the-lion-king,en,A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.,Life's greatest adventure is finding your place in the Circle of Life.,90.457886,1994/6/23,89,Released,5376,8,45000000,788241776
53,217,Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Kingdom of the Crystal Skull,http://www.indianajones.com/site/index.html,en,"Set during the Cold War, the Soviets �?led by sword-wielding Irina Spalko �?are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend �?and Indy's colleague �?Professor Oxley has been captured for his knowledge of the skull's whereabouts.",The adventure continues . . .,75.674458,2008/5/21,122,Released,2495,5.7,185000000,786636033
30,558,Spider-Man 2,Spider-Man 2,http://www.sonypictures.com/movies/spider-man2/,en,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",There's a hero in all of us.,35.149586,2004/6/25,127,Released,4321,6.7,200000000,783766341
788,293660,Deadpool,Deadpool,http://www.foxmovies.com/movies/deadpool,en,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",Witness the beginning of a happy ending,514.569956,2016/2/9,108,Released,10995,7.4,58000000,783112979
2912,11,Star Wars,Star Wars,http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,en,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,"A long time ago in a galaxy far, far away...",126.393695,1977/5/25,121,Released,6624,8.1,11000000,775398007
94,118340,Guardians of the Galaxy,Guardians of the Galaxy,http://marvel.com/guardians,en,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",All heroes start somewhere.,481.098624,2014/7/30,121,Released,9742,7.9,170000000,773328629
59,14161,2012,2012,http://www.sonypictures.com/movies/2012,en,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",We Were Warned.,45.274225,2009/10/10,158,Released,4903,5.6,200000000,769653595
201,591,The Da Vinci Code,The Da Vinci Code,http://www.sonypictures.com/homevideo/thedavincicode/index.html,en,"When the curator of the Louvre is found murdered in the famed museum's hallowed halls, Harvard professor, Robert Langdon and cryptographer, Sophie Neve must untangle a deadly web of deceit involving the works of Leonardo da Vinci.",Seek the truth.,45.313197,2006/5/17,149,Released,2704,6.5,125000000,767820459
81,102651,Maleficent,Maleficent,http://movies.disney.com/maleficent,en,"The untold story of Disney's most iconic villain from the 1959 classic 'Sleeping Beauty'. A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land.  Maleficent rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal �?an act that begins to turn her heart into stone. Bent on revenge, Maleficent faces an epic battle with the invading King's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom - and to Maleficent's true happiness as well.",Don't believe the fairy tale.,110.620647,2014/5/28,97,Released,4496,7,180000000,758539785
86,10192,Shrek Forever After,Shrek Forever After,http://www.shrekforeverafter.com/,en,"A bored and domesticated Shrek pacts with deal-maker Rumpelstiltskin to get back to feeling like a real ogre again, but when he's duped and sent to a twisted version of Far Far Away—where Rumpelstiltskin is king, ogres are hunted, and he and Fiona have never met—he sets out to restore his world and reclaim his true love.",It ain't Ogre... Til it's Ogre,44.041186,2010/5/16,93,Released,1959,6,165000000,752600867
20,1930,The Amazing Spider-Man,The Amazing Spider-Man,http://www.theamazingspiderman.com,en,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance �?leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",The untold story begins.,89.866276,2012/6/27,136,Released,6586,6.5,215000000,752215857
200,131631,The Hunger Games: Mockingjay - Part 1,The Hunger Games: Mockingjay - Part 1,http://www.thehungergames.movie/,en,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,Fire burns brighter in the darkness,206.227151,2014/11/18,123,Released,5584,6.6,125000000,752100229
63,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",,en,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",Evil Has Reigned For 100 Years...,67.391328,2005/12/7,143,Released,2629,6.7,180000000,748806957
