,id,title,production_companies
242,76757,Jupiter Ascending,Village Roadshow Pictures
243,76757,Jupiter Ascending,Dune Entertainment
244,76757,Jupiter Ascending,Anarchos Productions
245,76757,Jupiter Ascending,Warner Bros.
246,258489,The Legend of Tarzan,Village Roadshow Pictures
247,258489,The Legend of Tarzan,Dark Horse Entertainment
248,258489,The Legend of Tarzan,Jerry Weintraub Productions
249,258489,The Legend of Tarzan,RatPac-Dune Entertainment
250,258489,The Legend of Tarzan,Beagle Pug Films
251,258489,The Legend of Tarzan,Riche Productions
252,258489,The Legend of Tarzan,Village Roadshow Films North America
253,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Walt Disney
254,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Walden Media
255,246655,X-Men: Apocalypse,Twentieth Century Fox Film Corporation
256,246655,X-Men: Apocalypse,Donners' Company
257,246655,X-Men: Apocalypse,Marvel Entertainment
258,246655,X-Men: Apocalypse,Bad Hat Harry Productions
259,246655,X-Men: Apocalypse,TSG Entertainment
260,246655,X-Men: Apocalypse,Kinberg Genre
261,155,The Dark Knight,DC Comics
262,155,The Dark Knight,Legendary Pictures
263,155,The Dark Knight,Warner Bros.
264,155,The Dark Knight,DC Entertainment
265,155,The Dark Knight,Syncopy
266,14160,Up,Pixar Animation Studios
267,15512,Monsters vs Aliens,DreamWorks Animation
268,1726,Iron Man,Marvel Studios
269,44826,Hugo,Paramount Pictures
270,44826,Hugo,Infinitum Nihil
271,44826,Hugo,GK Films
272,8487,Wild Wild West,"Todman, Simon, LeMasters Productions"
273,8487,Wild Wild West,Warner Bros.
274,8487,Wild Wild West,Peters Entertainment
275,8487,Wild Wild West,Sonnenfeld Josephson Worldwide Entertainment
276,1735,The Mummy: Tomb of the Dragon Emperor,Universal Pictures
277,1735,The Mummy: Tomb of the Dragon Emperor,China Film Co-Production Corporation
278,1735,The Mummy: Tomb of the Dragon Emperor,Relativity Media
279,1735,The Mummy: Tomb of the Dragon Emperor,Alphaville Films
280,1735,The Mummy: Tomb of the Dragon Emperor,"Sommers Company, The"
281,297761,Suicide Squad,DC Comics
282,297761,Suicide Squad,Dune Entertainment
283,297761,Suicide Squad,Atlas Entertainment
284,297761,Suicide Squad,Warner Bros.
285,297761,Suicide Squad,DC Entertainment
286,2698,Evan Almighty,Columbia Pictures
287,2698,Evan Almighty,Universal Pictures
288,2698,Evan Almighty,Spyglass Entertainment
289,2698,Evan Almighty,Shady Acres Entertainment
290,2698,Evan Almighty,Original Film
291,2698,Evan Almighty,Playtone
292,2698,Evan Almighty,Relativity Media
293,137113,Edge of Tomorrow,Village Roadshow Pictures
294,137113,Edge of Tomorrow,Warner Bros.
295,137113,Edge of Tomorrow,Viz Media
296,137113,Edge of Tomorrow,Province of British Columbia Production Services Tax Credit
297,137113,Edge of Tomorrow,3 Arts Entertainment
298,137113,Edge of Tomorrow,RatPac-Dune Entertainment
299,9804,Waterworld,Universal Pictures
300,9804,Waterworld,Gordon Company
301,9804,Waterworld,Davis Entertainment
302,9804,Waterworld,Licht/Mueller Film Corporation
303,14869,G.I. Joe: The Rise of Cobra,Paramount Pictures
304,14869,G.I. Joe: The Rise of Cobra,Spyglass Entertainment
305,14869,G.I. Joe: The Rise of Cobra,Di Bonaventura Pictures
306,14869,G.I. Joe: The Rise of Cobra,Hasbro
307,14869,G.I. Joe: The Rise of Cobra,Kontsept Film Company
308,150540,Inside Out,Walt Disney Pictures
309,150540,Inside Out,Pixar Animation Studios
310,278927,The Jungle Book,Walt Disney Pictures
311,278927,The Jungle Book,Walt Disney Studios Motion Pictures
312,278927,The Jungle Book,Fairview Entertainment
313,278927,The Jungle Book,Moving Picture Company (MPC)
314,10138,Iron Man 2,Marvel Studios
315,58595,Snow White and the Huntsman,Universal Pictures
316,58595,Snow White and the Huntsman,Roth Films
317,102651,Maleficent,Walt Disney Pictures
318,102651,Maleficent,Walt Disney Studios Motion Pictures
319,102651,Maleficent,Roth Films
320,119450,Dawn of the Planet of the Apes,Ingenious Media
321,119450,Dawn of the Planet of the Apes,Chernin Entertainment
322,119450,Dawn of the Planet of the Apes,TSG Entertainment
323,79698,The Lovers,Corsan
324,79698,The Lovers,Bliss Media
325,79698,The Lovers,Limelight International Media Entertainment
326,79698,The Lovers,Neelmudra Entertainment
327,79698,The Lovers,Aristos Films
328,79698,The Lovers,Singularity Productions
329,79698,The Lovers,Wildkite
330,64686,47 Ronin,Mid Atlantic Films
331,64686,47 Ronin,Stuber Productions
332,64686,47 Ronin,Universal
333,64686,47 Ronin,Moving Picture Company (MPC)
334,64686,47 Ronin,H2F Entertainment
335,100402,Captain America: The Winter Soldier,Marvel Studios
336,10192,Shrek Forever After,DreamWorks Animation
337,158852,Tomorrowland,Walt Disney Pictures
338,158852,Tomorrowland,Babieka
339,158852,Tomorrowland,A113
340,177572,Big Hero 6,Walt Disney Pictures
341,177572,Big Hero 6,Walt Disney Animation Studios
342,82690,Wreck-It Ralph,Walt Disney Animation Studios
343,5255,The Polar Express,Golden Mean
344,5255,The Polar Express,Playtone
345,5255,The Polar Express,ImageMovers
346,47933,Independence Day: Resurgence,Twentieth Century Fox Film Corporation
347,47933,Independence Day: Resurgence,Centropolis Entertainment
348,47933,Independence Day: Resurgence,TSG Entertainment
349,47933,Independence Day: Resurgence,Stereo D
350,10191,How to Train Your Dragon,DreamWorks Animation
351,10191,How to Train Your Dragon,Vertigo Entertainment
352,10191,How to Train Your Dragon,Mad Hatter Entertainment
353,296,Terminator 3: Rise of the Machines,Columbia Pictures
354,296,Terminator 3: Rise of the Machines,Intermedia Films
355,296,Terminator 3: Rise of the Machines,Warner Bros.
356,296,Terminator 3: Rise of the Machines,C-2 Pictures
357,296,Terminator 3: Rise of the Machines,IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG
358,296,Terminator 3: Rise of the Machines,Mostow/Lieberman Productions
359,118340,Guardians of the Galaxy,Marvel Studios
360,118340,Guardians of the Galaxy,Moving Picture Company (MPC)
361,118340,Guardians of the Galaxy,Bulletproof Cupid
362,118340,Guardians of the Galaxy,Revolution Sun Studios
363,157336,Interstellar,Paramount Pictures
364,157336,Interstellar,Legendary Pictures
365,157336,Interstellar,Warner Bros.
366,157336,Interstellar,Syncopy
367,157336,Interstellar,Lynda Obst Productions
368,27205,Inception,Legendary Pictures
369,27205,Inception,Warner Bros.
370,27205,Inception,Syncopy
371,315011,Shin Godzilla,Cine Bazar
372,315011,Shin Godzilla,Toho Pictures
373,49051,The Hobbit: An Unexpected Journey,WingNut Films
374,49051,The Hobbit: An Unexpected Journey,New Line Cinema
375,49051,The Hobbit: An Unexpected Journey,Warner Bros. Pictures
376,49051,The Hobbit: An Unexpected Journey,Metro-Goldwyn-Mayer (MGM)
377,9799,The Fast and the Furious,Universal Pictures
378,9799,The Fast and the Furious,Original Film
379,9799,The Fast and the Furious,Ardustry Entertainment
380,9799,The Fast and the Furious,Mediastream Film GmbH & Co. Productions KG
381,4922,The Curious Case of Benjamin Button,Paramount Pictures
382,4922,The Curious Case of Benjamin Button,Warner Bros.
383,4922,The Curious Case of Benjamin Button,"Kennedy/Marshall Company, The"
384,49538,X-Men: First Class,Ingenious Film Partners
385,49538,X-Men: First Class,Ingenious Media
386,49538,X-Men: First Class,Twentieth Century Fox Film Corporation
387,49538,X-Men: First Class,Donners' Company
388,49538,X-Men: First Class,Dune Entertainment
389,49538,X-Men: First Class,Dune Entertainment III
390,49538,X-Men: First Class,Marvel Entertainment
391,49538,X-Men: First Class,Bad Hat Harry Productions
392,49538,X-Men: First Class,Big Screen Productions
393,131634,The Hunger Games: Mockingjay - Part 2,Studio Babelsberg
394,131634,The Hunger Games: Mockingjay - Part 2,Lionsgate
395,131634,The Hunger Games: Mockingjay - Part 2,Color Force
396,27022,The Sorcerer's Apprentice,Walt Disney Pictures
397,27022,The Sorcerer's Apprentice,Jerry Bruckheimer Films
398,27022,The Sorcerer's Apprentice,Saturn Films
399,27022,The Sorcerer's Apprentice,Broken Road Productions
400,27022,The Sorcerer's Apprentice,Junction Entertainment
401,503,Poseidon,Virtual Studios
402,503,Poseidon,Next Entertainment
403,503,Poseidon,Warner Bros.
404,503,Poseidon,Irwin Allen Productions
405,503,Poseidon,Radiant Productions
406,503,Poseidon,Synthesis Entertainment
407,241259,Alice Through the Looking Glass,Walt Disney Pictures
408,241259,Alice Through the Looking Glass,Team Todd
409,241259,Alice Through the Looking Glass,Tim Burton Productions
410,241259,Alice Through the Looking Glass,Roth Films
411,241259,Alice Through the Looking Glass,Legend3D
412,810,Shrek the Third,DreamWorks SKG
413,810,Shrek the Third,DreamWorks Animation
414,68735,Warcraft,Universal Pictures
415,68735,Warcraft,Atlas Entertainment
416,68735,Warcraft,Legendary Pictures
417,68735,Warcraft,Blizzard Entertainment
418,87101,Terminator Genisys,Paramount Pictures
419,87101,Terminator Genisys,Annapurna Pictures
420,87101,Terminator Genisys,Skydance Media
421,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,Dune Entertainment
422,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox 2000 Pictures
423,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,Walden Media
424,676,Pearl Harbor,Jerry Bruckheimer Films
425,676,Pearl Harbor,Touchstone Pictures
426,1858,Transformers,Paramount Pictures
427,1858,Transformers,DreamWorks SKG
428,1858,Transformers,Amblin Entertainment
429,1858,Transformers,Di Bonaventura Pictures
430,1858,Transformers,Platinum Dunes
431,1858,Transformers,thinkfilm
432,1858,Transformers,SprocketHeads
433,1858,Transformers,Hasbro Studios
434,1858,Transformers,Revolution Sun Studios
435,1966,Alexander,France 3 Cinéma
436,1966,Alexander,Intermedia Films
437,1966,Alexander,Pathé Renn Productions
438,1966,Alexander,Egmond Film & Television
439,1966,Alexander,Warner Bros.
440,1966,Alexander,Pacifica Film
441,1966,Alexander,IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG
442,1966,Alexander,WR Universal Group
443,675,Harry Potter and the Order of the Phoenix,Warner Bros.
444,675,Harry Potter and the Order of the Phoenix,Heyday Films
445,674,Harry Potter and the Goblet of Fire,Patalex IV Productions Limited
446,674,Harry Potter and the Goblet of Fire,Warner Bros.
447,674,Harry Potter and the Goblet of Fire,Heyday Films
448,8960,Hancock,Columbia Pictures
449,8960,Hancock,Weed Road Pictures
450,8960,Hancock,Forward Pass
451,8960,Hancock,Relativity Media
452,8960,Hancock,Overbrook Entertainment
453,8960,Hancock,Blue Light
454,8960,Hancock,GH Three
455,6479,I Am Legend,Village Roadshow Pictures
456,6479,I Am Legend,Original Film
457,6479,I Am Legend,Weed Road Pictures
458,6479,I Am Legend,Warner Bros.
459,6479,I Am Legend,Heyday Films
460,6479,I Am Legend,Overbrook Entertainment
461,118,Charlie and the Chocolate Factory,Village Roadshow Pictures
462,118,Charlie and the Chocolate Factory,The Zanuck Company
463,118,Charlie and the Chocolate Factory,Warner Bros.
464,118,Charlie and the Chocolate Factory,Tim Burton Productions
465,118,Charlie and the Chocolate Factory,Plan B Entertainment
466,118,Charlie and the Chocolate Factory,Theobald Film Productions
467,2062,Ratatouille,Walt Disney Pictures
468,2062,Ratatouille,Pixar Animation Studios
469,272,Batman Begins,DC Comics
470,272,Batman Begins,Legendary Pictures
471,272,Batman Begins,Warner Bros.
472,272,Batman Begins,DC Entertainment
473,272,Batman Begins,Syncopy
474,272,Batman Begins,Patalex III Productions Limited
475,10527,Madagascar: Escape 2 Africa,DreamWorks Animation
476,18360,Night at the Museum: Battle of the Smithsonian,Twentieth Century Fox Film Corporation
477,18360,Night at the Museum: Battle of the Smithsonian,1492 Pictures
478,18360,Night at the Museum: Battle of the Smithsonian,Dune Entertainment
479,18360,Night at the Museum: Battle of the Smithsonian,21 Laps Entertainment
480,18360,Night at the Museum: Battle of the Smithsonian,Museum Canada Productions
481,18360,Night at the Museum: Battle of the Smithsonian,Moving Picture Company (MPC)
482,2080,X-Men Origins: Wolverine,Ingenious Film Partners
483,2080,X-Men Origins: Wolverine,Twentieth Century Fox Film Corporation
484,2080,X-Men Origins: Wolverine,Donners' Company
485,2080,X-Men Origins: Wolverine,Dune Entertainment
486,2080,X-Men Origins: Wolverine,Seed Productions
487,2080,X-Men Origins: Wolverine,Bad Hat Harry Productions
488,2080,X-Men Origins: Wolverine,Big Screen Productions
489,2080,X-Men Origins: Wolverine,Marvel Enterprises
490,605,The Matrix Revolutions,Village Roadshow Pictures
491,605,The Matrix Revolutions,NPV Entertainment
492,605,The Matrix Revolutions,Silver Pictures
493,605,The Matrix Revolutions,Warner Bros.
494,109445,Frozen,Walt Disney Pictures
495,109445,Frozen,Walt Disney Animation Studios
496,604,The Matrix Reloaded,Village Roadshow Pictures
497,604,The Matrix Reloaded,NPV Entertainment
498,604,The Matrix Reloaded,Heineken Branded Entertainment
499,604,The Matrix Reloaded,Silver Pictures
500,604,The Matrix Reloaded,Warner Bros.
501,76338,Thor: The Dark World,Marvel Studios
502,76341,Mad Max: Fury Road,Village Roadshow Pictures
503,76341,Mad Max: Fury Road,Kennedy Miller Productions
504,76341,Mad Max: Fury Road,Warner Bros.
505,13448,Angels & Demons,Columbia Pictures
506,13448,Angels & Demons,Imagine Entertainment
507,13448,Angels & Demons,Panorama Films
508,13448,Angels & Demons,Skylark Productions
509,10195,Thor,Marvel Studios
510,13053,Bolt,Walt Disney Animation Studios
511,19585,G-Force,Walt Disney Pictures
512,19585,G-Force,Jerry Bruckheimer Films
513,19585,G-Force,Whamaphram Productions
514,57165,Wrath of the Titans,Legendary Pictures
515,57165,Wrath of the Titans,Thunder Road Pictures
516,57165,Wrath of the Titans,Warner Bros.
517,57165,Wrath of the Titans,Cott Productions
518,57165,Wrath of the Titans,"Furia de Titanes II, A.I.E."
519,62213,Dark Shadows,Village Roadshow Pictures
520,62213,Dark Shadows,Infinitum Nihil
521,62213,Dark Shadows,GK Films
522,62213,Dark Shadows,Warner Bros.
523,62213,Dark Shadows,Tim Burton Productions
524,62213,Dark Shadows,Dan Curtis Productions
525,62213,Dark Shadows,"Zanuck Company, The"
526,177677,Mission: Impossible - Rogue Nation,Paramount Pictures
527,177677,Mission: Impossible - Rogue Nation,Skydance Productions
528,177677,Mission: Impossible - Rogue Nation,China Movie Channel
529,177677,Mission: Impossible - Rogue Nation,Bad Robot
530,177677,Mission: Impossible - Rogue Nation,TC Productions
531,177677,Mission: Impossible - Rogue Nation,Alibaba Pictures Group
532,177677,Mission: Impossible - Rogue Nation,Odin
533,7978,The Wolfman,Universal Pictures
534,7978,The Wolfman,Stuber Productions
535,7978,The Wolfman,Relativity Media
536,5559,Bee Movie,Pacific Data Images (PDI)
537,5559,Bee Movie,DreamWorks Animation
538,5559,Bee Movie,Columbus 81 Productions
539,49444,Kung Fu Panda 2,DreamWorks Animation
540,10196,The Last Airbender,Paramount Pictures
541,10196,The Last Airbender,Nickelodeon Movies
542,10196,The Last Airbender,"Kennedy/Marshall Company, The"
543,10196,The Last Airbender,Industrial Light & Magic (ILM)
544,10196,The Last Airbender,Blinding Edge Pictures
545,956,Mission: Impossible III,Paramount Pictures
546,956,Mission: Impossible III,Cruise/Wagner Productions
547,956,Mission: Impossible III,Studio Babelsberg
548,956,Mission: Impossible III,MI 3 Film
549,956,Mission: Impossible III,China Film Co-Production Corporation
550,956,Mission: Impossible III,China Film Group Corporation (CFGC)
551,956,Mission: Impossible III,The Fourth Production Company Film Group
552,117251,White House Down,Columbia Pictures
553,117251,White House Down,Centropolis Entertainment
554,117251,White House Down,Iron Horse Entertainment (II)
555,117251,White House Down,Mythology Entertainment (II)
556,50321,Mars Needs Moms,Walt Disney Animation Studios
